0,1,2,3,4,5,6,7
"('task_description', 'Explain cloud computing in moderate detail')","('complexity', 'medium')","('bad_prompt', 'Explain cloud computing.')","('good_prompt', 'You are a cloud computing expert. Explain cloud computing in moderate detail, covering the following aspects:\n\n1.  **Definition:** What is cloud computing?\n2.  **Service Models:** Describe the main cloud service models (IaaS, PaaS, SaaS) and provide examples of each.\n3.  **Deployment Models:** Explain the different cloud deployment models (Public, Private, Hybrid, Community).\n4.  **Benefits:** What are the key advantages of using cloud computing?\n5.  **Challenges:** What are some of the challenges and concerns associated with cloud computing?\n\nStructure your answer in a clear and organized manner, suitable for someone with a basic understanding of technology.')","('expected_answer', 'Cloud computing is the on-demand availability of computer system resources, especially data storage and computing power, without direct active management by the user. Large clouds often have functions distributed over multiple locations, each location being a data center.\n\n**Service Models:**\n\n*   **IaaS (Infrastructure as a Service):** Provides access to fundamental computing resources like virtual machines, storage, and networks. Example: Amazon EC2.\n*   **PaaS (Platform as a Service):** Offers a platform for developing, running, and managing applications without managing the underlying infrastructure. Example: Google App Engine.\n*   **SaaS (Software as a Service):** Delivers software applications over the internet, on demand, typically on a subscription basis. Example: Salesforce.\n\n**Deployment Models:**\n\n*   **Public Cloud:** Cloud infrastructure is available to the general public and owned by a cloud service provider. Example: AWS.\n*   **Private Cloud:** Cloud infrastructure is used exclusively by a single organization. It can be located on-premises or hosted by a third party.\n*   **Hybrid Cloud:** A combination of public and private clouds, allowing data and applications to be shared between them.\n*   **Community Cloud:** Cloud infrastructure is shared by several organizations with similar interests or requirements.\n\n**Benefits:**\n\n*   **Cost Savings:** Reduced capital expenditure and operational costs.\n*   **Scalability:** Easily scale resources up or down based on demand.\n*   **Flexibility:** Access a wide range of services and resources.\n*   **Reliability:** Improved uptime and disaster recovery capabilities.\n\n**Challenges:**\n\n*   **Security:** Concerns about data security and privacy in the cloud.\n*   **Compliance:** Meeting regulatory requirements for data storage and processing.\n*   **Vendor Lock-in:** Difficulty migrating data and applications between cloud providers.\n*   **Complexity:** Managing cloud resources and services can be complex.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.INFORMATIONAL: 'Informational or Factual Prompts'>)","('notes', None)"
"('task_description', 'Identify and list important points about organic chemistry')","('complexity', 'medium')","('bad_prompt', 'Tell me about organic chemistry.')","('good_prompt', 'You are a chemistry professor with 20 years of experience. List the 5 most important concepts in organic chemistry that a student must master to succeed in an organic chemistry course. For each concept, provide a brief explanation of why it is important and give a specific example of how it is applied. Structure your answer as a numbered list.')","('expected_answer', 'The expected answer is a numbered list of 5 key organic chemistry concepts, each with a brief explanation of its importance and a specific application example. The concepts should be fundamental to the field and the explanations should be clear and concise, suitable for a student audience. Examples should be relevant and illustrative.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.DATA_EXTRACTION: 'Data Extraction Prompts'>)","('notes', None)"
"('task_description', 'Provide a brief overview of basic astronomy')","('complexity', 'low')","('bad_prompt', 'Tell me about astronomy.')","('good_prompt', 'You are an astronomy professor. Please provide a concise overview of basic astronomy concepts, including stars, planets, galaxies, and the universe. Explain each concept in simple terms suitable for someone with no prior knowledge of the subject.')","('expected_answer', 'The response should define astronomy and then briefly explain stars (formation, life cycle), planets (types, solar system), galaxies (types, Milky Way), and the universe (expansion, Big Bang theory) in a clear and accessible manner.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.SUMMARIZATION: 'Summarization Prompts'>)","('notes', None)"
"('task_description', 'Answer questions about advertising strategies')","('complexity', 'medium')","('bad_prompt', 'Tell me about advertising strategies.')","('good_prompt', 'You are a marketing expert with 20 years of experience. I need your help to develop a comprehensive advertising strategy for a new brand of organic snacks targeting health-conscious millennials. Please outline the key components of this strategy, including:\n\n1.  Target audience analysis: Describe the key characteristics, behaviors, and preferences of health-conscious millennials.\n2.  Key message development: What core message should resonate with this audience, and how can we communicate the unique benefits of our organic snacks?\n3.  Channel selection: Which advertising channels (e.g., social media, influencer marketing, content marketing, paid search) are most effective for reaching this audience, and why?\n4.  Budget allocation: How should we allocate our advertising budget across these channels to maximize reach and impact?\n5.  Measurement and optimization: What key performance indicators (KPIs) should we track to measure the success of our advertising efforts, and how can we optimize our strategy based on these insights?\n\nProvide specific examples and recommendations to support your strategy. Structure your answer in a clear and concise manner.')","('expected_answer', 'The ideal output would be a detailed advertising strategy document that covers all the points mentioned in the prompt. It should include a thorough analysis of the target audience, a compelling key message, a well-justified selection of advertising channels, a budget allocation plan, and a measurement and optimization framework. The answer should be specific, actionable, and tailored to the context of organic snacks and health-conscious millennials.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>, <PromptingTechnique.ONE_SHOT_FEW_SHOT: 'One-shot & few-shot'>])","('prompt_type', <PromptType.QUESTION_ANSWERING: 'Question-Answering Prompts'>)","('notes', None)"
"('task_description', 'Highlight the differences between approaches to political systems')","('complexity', 'medium')","('bad_prompt', 'What are the different types of governments?')","('good_prompt', 'You are a political science professor. Compare and contrast the following political systems: democracy, communism, and authoritarianism. For each system, discuss its core principles, strengths, weaknesses, and historical examples. Organize your answer in a table.')","('expected_answer', ""The ideal output would be a table comparing democracy, communism, and authoritarianism across several dimensions. The table should clearly articulate the core principles of each system (e.g., democracy emphasizes individual rights and majority rule, communism emphasizes collective ownership and a classless society, and authoritarianism emphasizes centralized control and obedience to authority). The strengths and weaknesses of each system should be discussed (e.g., democracy's strength is its protection of individual rights, but its weakness can be inefficiency; communism's strength is its potential for equality, but its weakness is its suppression of individual freedoms; authoritarianism's strength is its efficiency, but its weakness is its potential for abuse of power). Finally, the table should provide relevant historical examples for each system (e.g., the United States for democracy, the Soviet Union for communism, and Nazi Germany for authoritarianism)."")","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>, <PromptingTechnique.ONE_SHOT_FEW_SHOT: 'One-shot & few-shot'>])","('prompt_type', <PromptType.COMPARISON: 'Comparison Prompts'>)","('notes', None)"
"('task_description', 'Address common questions on first aid techniques')","('complexity', 'medium')","('bad_prompt', 'What should I do for a burn?')","('good_prompt', 'You are a certified first aid instructor. A person has a second-degree burn on their arm from touching a hot pan. Provide detailed, step-by-step instructions on how to treat the burn immediately, including what to do and what NOT to do. Explain the reasoning behind each step. Also, advise when it is necessary to seek professional medical attention.')","('expected_answer', 'The response should provide a clear, step-by-step guide on treating a second-degree burn. It should include actions like cooling the burn under cool (not cold) running water for 10-20 minutes, covering the burn with a sterile, non-adhesive bandage, and pain management. The response should explicitly state what not to do, such as applying ice, butter, or ointments. The reasoning behind each step should be explained (e.g., cooling reduces tissue damage, covering prevents infection). Finally, it should advise seeking medical attention if the burn is larger than 3 inches in diameter, is on the face, hands, feet, or genitals, or if signs of infection develop.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>, <PromptingTechnique.CHAIN_OF_THOUGHT: 'Chain of Thought (CoT)'>])","('prompt_type', <PromptType.QUESTION_ANSWERING: 'Question-Answering Prompts'>)","('notes', None)"
"('task_description', 'Answer questions about healthy habits')","('complexity', 'low')","('bad_prompt', 'What are some healthy habits?')","('good_prompt', 'You are a health expert. Please list five specific healthy habits that people can incorporate into their daily routine to improve their overall well-being. For each habit, provide a brief explanation of its benefits.')","('expected_answer', ""The response should list five distinct healthy habits, such as 'Drink plenty of water,' 'Get regular exercise,' 'Eat a balanced diet,' 'Get enough sleep,' and 'Practice mindfulness or meditation.' Each habit should be accompanied by a short explanation of why it is beneficial for overall health."")","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.QUESTION_ANSWERING: 'Question-Answering Prompts'>)","('notes', None)"
"('task_description', 'Evaluate the strengths and weaknesses of card games')","('complexity', 'low')","('bad_prompt', 'Tell me about card games.')","('good_prompt', 'You are an expert game analyst. Evaluate the strengths and weaknesses of card games, considering factors like strategy, luck, social interaction, accessibility, and replayability. Provide a detailed analysis in a structured format.')","('expected_answer', 'A structured analysis of card games, outlining their strengths (e.g., strategic depth, social interaction, accessibility) and weaknesses (e.g., reliance on luck, potential for complexity, limited physical activity). The analysis should cover various aspects and provide a balanced perspective.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.ANALYSIS_CRITIQUE: 'Analysis or Critique Prompts'>)","('notes', None)"
"('task_description', 'Provide step-by-step instructions for abstract algebra')","('complexity', 'high')","('bad_prompt', 'Explain abstract algebra.')","('good_prompt', ""You are a professor teaching an advanced undergraduate course in abstract algebra. Provide a step-by-step guide to understanding abstract algebra, suitable for a student with a solid background in linear algebra and basic set theory. The guide should cover the following topics in order:\n\n1.  **Groups:**\n    *   Definition of a group and examples (cyclic groups, permutation groups, matrix groups).\n    *   Subgroups, cosets, Lagrange's theorem.\n    *   Group homomorphisms and isomorphisms.\n    *   Quotient groups and the isomorphism theorems.\n    *   Group actions and the orbit-stabilizer theorem.\n    *   Sylow theorems and their applications.\n\n2.  **Rings:**\n    *   Definition of a ring and examples (polynomial rings, matrix rings, rings of integers modulo n).\n    *   Ideals, quotient rings, and ring homomorphisms.\n    *   Integral domains, fields, and the field of fractions.\n    *   Euclidean domains, principal ideal domains, and unique factorization domains.\n\n3.  **Fields:**\n    *   Field extensions, algebraic and transcendental elements.\n    *   Splitting fields and algebraic closures.\n    *   Finite fields.\n    *   Galois theory (if time permits).\n\nFor each topic, provide a brief explanation, key definitions, important theorems, and illustrative examples. Suggest exercises or problems that the student can work through to solidify their understanding. Emphasize the connections between different concepts and provide motivation for studying each topic. Use clear and concise language, avoiding unnecessary jargon. Aim for a level of detail appropriate for a student who is learning the material for the first time. Conclude with a list of recommended textbooks for further study."")","('expected_answer', 'The response should be a structured guide to abstract algebra, covering groups, rings, and fields in a logical order. Each section should include definitions, theorems, examples, and exercises. The guide should be written in a clear and accessible style, suitable for an advanced undergraduate student. The response should also include a list of recommended textbooks.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>, <PromptingTechnique.CHAIN_OF_THOUGHT: 'Chain of Thought (CoT)'>])","('prompt_type', <PromptType.INSTRUCTIONAL: 'Instructional Prompts'>)","('notes', None)"
"('task_description', 'Summarize the key points of months of the year')","('complexity', 'low')","('bad_prompt', 'Tell me about the months of the year.')","('good_prompt', 'As a helpful assistant, summarize each month of the year, highlighting key holidays, seasonal changes, and common activities associated with each. Use a concise and informative style.')","('expected_answer', ""January: Start of the year, New Year's Day, often cold. February: Valentine's Day, Black History Month, shorter days. March: Spring begins, St. Patrick's Day. April: April Fool's Day, Easter, spring blooms. May: Mother's Day, Memorial Day, warmer weather. June: Start of summer, Father's Day. July: Independence Day (US), summer heat. August: Summer continues, back-to-school preparations. September: Start of autumn, Labor Day. October: Halloween, fall foliage. November: Thanksgiving (US), cooler weather. December: Christmas, Hanukkah, Kwanzaa, end of the year."")","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.SYSTEM_PROMPTING: 'System prompting'>])","('prompt_type', <PromptType.SUMMARIZATION: 'Summarization Prompts'>)","('notes', None)"
